Post_id,Fashion Brand,Instagram Handle,Customer Feedback,Date,Location,Hashtag,Sentiment
530,Topman,@topman,Needs more variety in styles.,9/20/2021,"London, UK",#FashionVariety,Neutral
531,Zara,@zaraofficial,Stylish but inconsistent quality.,10/12/2022,"Glasgow, UK",#FashionQuality,Neutral
532,Gucci,@gucci,Timeless luxury fashion.,11/18/2023,"Edinburgh, UK",#TimelessLuxury,Positive
533,H&M,@hm,Affordable basics at affordable prices.,12/21/2020,"Manchester, UK",#BasicsAffordable,Positive
534,Adidas,@adidas,Trusted brand for sportswear needs.,1/22/2021,"Birmingham, UK",#Sportswear,Positive
535,Balenciaga,@balenciaga,Unique and daring designs.,2/25/2022,"Glasgow, UK",#DaringFashion,Positive
536,Primark,@primark,Affordable fashion paradise.,3/15/2023,"London, UK",#FashionParadise,Positive
537,ASOS,@asos,Easy online shopping experience.,4/10/2020,"Manchester, UK",#OnlineShopping,Positive
538,Mango,@mango,Stylish and affordable.,5/15/2021,"Birmingham, UK",#StylishAffordable,Positive
539,Topman,@topman,Limited selection of formal wear.,6/23/2022,"London, UK",#FormalFashion,Neutral
540,Zara,@zaraofficial,"Stylish options, but some quality issues.",7/12/2023,"Glasgow, UK",#FashionQualityIssues,Neutral
541,Gucci,@gucci,Exquisite luxury fashion.,8/18/2020,"Edinburgh, UK",#LuxuryFashion,Positive
542,H&M,@hm,Affordable fashion for all occasions.,9/21/2021,"Manchester, UK",#FashionForAll,Positive
543,Adidas,@adidas,Trusted for athletic wear.,10/22/2022,"Birmingham, UK",#AthleticWear,Positive
544,Balenciaga,@balenciaga,Bold and artistic fashion.,11/25/2023,"Glasgow, UK",#ArtisticFashion,Positive
545,Primark,@primark,Affordable fashion paradise.,12/15/2020,"London, UK",#FashionParadise,Positive
546,ASOS,@asos,Easy online shopping experience.,1/10/2021,"Manchester, UK",#OnlineShopping,Positive
547,Mango,@mango,Stylish and affordable.,2/15/2022,"Birmingham, UK",#StylishAffordable,Positive
548,Topman,@topman,Needs more variety in styles.,3/20/2023,"London, UK",#FashionVariety,Neutral
549,Zara,@zaraofficial,Stylish but inconsistent quality.,4/25/2020,"Glasgow, UK",#FashionQuality,Neutral
550,Gucci,@gucci,Timeless luxury fashion.,5/30/2021,"Edinburgh, UK",#TimelessLuxury,Positive
